,ratings,location,date,pro,con,up_vote,down_vote,message
20,5.0,"Bismarck, ND",2019-02-28,Work around your schedule.,Maximum daily pay is on average $100 and requires all day driving.,2,1,"This is a self-employment job, so the biggest benefit is seeing the results of your hard work being visible immediately in your bank account on the next business day. You get to meet new people everyday and it really forces you to work on your customer service skills."
21,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
22,3.0,"San Francisco Bay Area, CA",2019-02-27,never offers,we don't have any health care insurance,,3,"will!! if you think driving uber you will make money very wrong but you can live day by day.  okay so here is the salary of uber $15, car expense $400 a month. so thats means you work 8 to 9 hours you car expense suppose be uber paying but uber didn't."
23,2.0,"Long Island, NY",2019-02-27,None,Not showing me step by step on how to access the quality improvement course,2,,I didn't think it was right for them to deactivate my account because of the 4.60 stars which weren't that low below the 5 stars. They let me work for at least 4 months before giving me a warning.
24,4.0,"Houston, TX",2019-02-25,Flexible,Vehicle wear and tear,1,4,"I love Uber for the fact that it's so flexible. Drivers can make hundreds per week just have to get out and drive. No hassle from managers! Be your own boss, literally."
25,5.0,"Sacramento, CA",2019-02-24,"meeting interesting people, long trips that take you to places never been.",Pay rate,1,4,"Typical day at work would be driving in the downtown area, it's a good day when your busy, but when it's down time might as well go home or sit it out till you get another request. What I learned is that you have to be strategic at driving at certain times to earn more.The hardest part is not reaching your desired goal. the fun part is where you might end up and how far you might have to drive and meeting new people."
26,5.0,"Baltimore, MD",2019-02-24,You can make a lot of money,They should provide you with THEIR vehicle,1,4,"Love driving people safely to their locations. Each and everyday I learn more about my city and surrounding county that I just never knew. People are the absolute best, fun loving. It’s a very exciting experience."
27,4.0,"Chicago, IL",2019-02-21,,,,4,A typical day for me with Uber is consistent driving I've learned time management as well as meeting new and interesting people the hardest part of the job is the long driving hours
28,5.0,"Lancaster, CA",2019-02-21,,,,3,I really love working with Uber Their customer service is very very pleasant anytime you call in they answer they don't have you on hold for a long period of time I really enjoy working with Uber my sister-in-law just applied for Uber in Memphis Tennessee she enjoys this company as well
29,1.0,"Rochester, NY",2019-02-20,U can quit easy,Everything about it,10,1,You will make about 10$ per hour -gas -wear and tear on your car... so your bassicly making less than minimum wage.The people are rude they expect u to pick them up in a cadillac or mercedes. People that dont own a car or cant drive complain about your car and driving because theyr life sucks and give bad reaviews no matter how hard u try (the uber system its set up u dont have any rights as a driver). A little pay exmaple if ur rider pays 5$ Uber will collect 2.25 and ur left with 2.75$ and u dont even get a “thank you” but they will slam your doors as hard as they can because 90% of the time ur riding lossers around that lost theyr licence or never owned a car.
30,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
31,3.0,"Wilmington, NC",2019-02-12,,,,2,"Okay job, depends how big your city is. If you have a small city there is no chance you will make money. Medium sized cities have a chance and big cities you can make a lot of money due to the big population."
32,5.0,"Lafayette, IN",2019-02-11,,,1,1,Great work to do once you start meeting other drivers and get to know them. Lots of risk involved in using a personal vehicle to transport people around. Can be stressful trying to negotiate traffic so people arrive on time.
33,2.0,"New York, NY",2019-02-11,flexible hours,no paid time off,3,1,"this job requires driving for 7 hours a day , its very competitive for finding rides and reaching the goal of $200 dollars a day , you have to work in order to have an income because no work means no income , no paid time off"
34,1.0,"San Francisco, CA",2019-02-11,can make you own schedule,no benefits no job protection very unsafe,5,1,Do Not Work as a rideshare driver. You make less than minimum wage and you're risking your life. You do not get any more money with the years you stay with the company. In fact you get less and less money each year.
35,3.0,"Omaha, NE",2019-02-10,flexible hours,no security,2,1,lots of pros and cons that go on. Most people already know about. It was just more stressful than it was worth for me. I needed to have something more solid. Nothing can be relied on in this environment
36,1.0,"San Diego, CA",2019-02-10,Lunch Money while you wear out your car,"Being Constantly Robbed by Uber ""ADJUSTABLE FEE's"" etc. CON ARTIST CROOKS",9,,"If you like waiting 1 hour to get a ride.Then Driving miles to pickup a customer,Then Pick Up Customer, drop them off..All for $2.61 Cents. And lots of $3.12 Cent Rides. Customers pay good money for these rides. But Uber will keep most of the money, and pay you for GAS. Then we have medium rides where you made decent money.But now Uber Steal that money from Drivers, so those suck too.Then we have Long Rides. This is great for UBER, this is wherethey do not pay anything for Gas, and again keep most of the money.Uber are sleezy criminals who lie, cheat, and steal from drivers.Even the 5 Star Rating system broke 3 weeks ago. So no 5 stars, but if someone gives you a 1 star. That shows. Uber really sucks in every single way."
37,4.0,"Philadelphia, PA",2019-02-09,get paid in full,no taxes deducted,2,1,hardest part of the job would be the hours. you dont get paid the hour you can work 5 hrs and make 25 bucks. next day you can work 5 hrs and get paid 85 bucks. the most enjoyable part of the day would be you can take a break at any time of the day as needed.
38,5.0,"St. Louis, MO",2019-02-09,deciding your own schedule,the extra amount of care needed for your care,2,1,"The trick to ride sharing is that it's all about how far you're willing to go. unlike other jobs, there is no schedule it's all up to you how much you make. So if you're going to be successful you need to take the initiative."
39,3.0,Ensenada,2019-02-08,free lunches,short brakes,1,1,"It was nice driving all around the cities you start to know better the places road , streets ,parks , its very easy job and the best part is that you can be you own boss"
40,3.0,"Los Angeles, CA",2019-02-07,,,2,2,"Typical day consisted of driving passengers to and from their desired locations. Learned better rod routes to avoid heavy traffic. The job has no management,  its self-employment. Hardest part of the job  would be difficult passengers and traffic as well as parking. Most enjoyable part is that it requires no micro-management."
41,5.0,"Boston, MA",2019-02-07,Sky is the limit on salary,However long you WANT to work,1,1,"their slogan ""be your own boss""- you are!!Once issued a CAR and shown how to operate the Uber Navigator app (for drivers) you can drive until you pass out!!Highly recommended and one day will return to driving Uber in Boston!!!"
42,3.0,Florida,2019-02-06,,,1,,Es bien trabajo pero durante el día no sale nada hay que esperar hasta la noche
43,5.0,"Cleveland, OH",2019-02-06,Timely transmittal of earning,Uber GPS could use some improvement,,1,Work according to your schedule. Uber transmits pay weekly with out any difficulty.  Uber is fair and does not put unreasonable demands on the drivers
44,4.0,El Paso Texas,2019-02-06,Good money,Harped on ratings,,1,It was very cool got to meet lots of cool and interesting people and i love ti drive so it was a perfect job for me and most of the people were very happy and cool
45,4.0,"Chico, CA",2019-02-05,,,1,,"Great way to make extra money, not foreseeable as enough to live off solely. Discounts available, no benefits otherwise. Wear and tear as well as gas falls to driver as one is an independent contractor"
46,1.0,"Tallahassee, FL",2019-02-04,,,8,,"Loved the work, hated the company. Every month there was a new unpleasant surprise. Every change seemed to be against us drivers. I started making about $18/hr, three years later that was down to $6/hr."
47,3.0,Delaware,2019-02-03,,,,,"Freedom of schedule is great, the pay is alright.Ability to defend against false complaints, vehicle cost, honest updates when the system glitches: not great."
48,5.0,"Las Vegas, NV",2019-02-03,work when you want,customer service reps,1,2,"Fulltime uber driver in Las Vegas, NV and it's great, i'm a primary strip driver have really enjoyed being my own boss and making my own hours.  I've been a fulltime driver for a little short of 3 years and as with any job there will be hiccups, but I love driving for Uber.."
49,4.0,"Boston, MA",2019-02-03,Independent,Responsibility and liability,1,2,Uber is a good company people can work any time any hour there is no obligation. You make your schedule yourself. You can work whenever you want there's no restrictions. It's fully independent and freedom Job. You can work full time or part time or ones week or once a month however you like. If you need some extra money or as a side work then Uber is best.
50,3.0,"San Francisco, CA",2019-02-01,,,3,2,A decent job if working in the Bay Area. Very similar to a Taxi Driver. Driving for Uber depends on how comfortable you are with picking up strangers in your personal vehicle
51,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
52,4.0,"Orange County, CA",2019-01-31,,,,2,You need to be committed to working all hours. You need to know the high traffic areas to go to and you need to be conversational and polite. Sometimes you will be brought out of Orange County.
53,3.0,"Houston, TX",2019-01-30,Work when you want,Heavy amounts of risk and responsibility on the driver's,2,2,Uber is a decent company to work for and is very transparent on the service they provide. The hours are extremely flexible and offer fair rates per hour and mileage. Most fares and rides are uneventful but location is definitely a factor.
54,3.0,"New York, NY",2019-01-30,,,3,1,"You did not get paid for vacation and the cost of the car insurance, inspection and license is too much, police always against you it is too stressful and denger"
55,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
56,2.0,MS,2019-01-24,No boss,Everything from the pay to lack of communication from management,,,"Uber Eats pays little to nothing per trip and has very long idle times in my area!!! Most of the time, I work around 8 hours just to make like 65-75 bucks!!!! I'd be better off at home all day😒"
57,3.0,"Sacramento, CA",2019-01-24,,,,,"Nothing unique to report here. Drive around, pick people up and take them where they want to go. Didn't pay much. Once a gal threw up in my car. Yuck, right?"
58,4.0,"Denver, CO",2019-01-24,,,2,2,"As with any job when you learn how to be better than the others you can make more money. If you are a people's person, have a fun attitude, a clean car, know the city and you are a safe driver you can earn more tips. The best way to maximize earnings is to start very early on weekdays and drive between (5AM-10AM) in the suburbs where people go to work or to the airport. Then drive in the evenings (5PM-10PM) downtown or any area where there are office buildings. On the weekends you need to drive very late until 2AM-3AM. If you drive these hours you are likely to unlock all the extra money Uber offers in bonuses, quests, consecutive trips and make around $1300 a week. You also need to drive a hybrid if you are full time, that saves you hundreds of $ each month."
59,5.0,"Atlanta, GA",2019-01-23,Freedom,Getting sleepy,,,"The people i met, the places i’ve gone, polishing up my already amazing customer service skills, while being my own boss made this a dream come true gig!"
60,4.0,"Long Island, NY",2019-01-23,,,,,"I love my job , because I love helping people to move around. Help them to go to work ,go to doctor appointment, some of them go school etc .It's fun to know that, at the end of the day by doing my job I help someone."
61,5.0,"Raleigh, NC",2019-01-23,,,,3,It is an excited job. Every day i met new people and I was feeling safe driving for Uber. I was my own boss. I made my own schedule every day and work at the time i wanted.
62,1.0,"New York, NY",2019-01-22,,,2,,Be prepared to work a lot of hours just to make enough money to get by in NYC. Traffic is very stressful and never ends.  There is traffic at 3 am on a Monday morning.
63,4.0,"Chicago, IL",2019-01-22,,,,,For me its nice and fun drive for uber because I know random people from different part of the world and local. I make extra money while I'm having fun knowing new people and exploring new areas.
64,4.0,New Jersey,2019-01-21,,,1,,"You can drive and earn as much as you want. And, the more you drive, the more you’ll make. Plus, you’ll get paid weekly and your fares get automatically deposited.Only drive when it works for you. There’s no office and no boss. That means you’ll always start and stop on your time—because with Uber, you’re in charge."
65,5.0,DMV,2019-01-21,Weekly bonus,Health care,,3,It was ok because am the boss of me and I work whenever I want and I make whatever I want. Is a nice side job and very relaxing customer service job and I gain a lot of experience as a driver.
66,4.0,"El Paso, TX",2019-01-20,"Flexible schedule, fair pay","Benefits are expensive, messes from other people",,,Uber is a great way to start off working as your own boss. It also helps create a repition in schedule to keep those who need to learn to be more organized.
67,3.0,"Monroe, LA",2019-01-19,,,1,1,Uber is a fun job if you like to drive and meet lots of different people. I do not recommend this job because of the mileage and wear and tear of your personal vehicle. Not to mention you will owe alot of taxes at the end of the year because taxes do not get held out of your pay. I will never be self employed again.
68,2.0,Northern Virginia,2019-01-18,Set your own schedule,Almost non-existent support,3,,"I would pick up riders and transport them safely to their destination. Company support beyond the Uber App. was very difficult to get. If you need extra cash and gas prices are low, it could work for you. Uber is not a good way to earn a living."
69,1.0,"San Francisco, CA",2019-01-17,scheduele,tons,7,,"Uber is a lot of driving for very very little money. It is not hard manual labor such as digging ditches in the sun, which I would prefer, but if you are interested in making anything over $400 a week you better plan on spending a minimum of 50 to 60 hours a week in your car. The wear and tear on a car is Dreadful. Traffic, gasoline, rude Riders increase stress level. I would not recommend for anybody except for those who need a little extra spending money on the side"
70,1.0,Massachusetts,2019-01-17,helping others,Poor pay,3,1,"Often very slow, drivers are paid little. It can be costly as the wear and tear on your vehicle and price for gas is not cheap. Not a resourceful employment oppourtinity unless you have other sources of income that can off set the costs for maintiaing your vehicle"
71,3.0,"Torrance, CA",2019-01-17,Traveling and you're your own boss,Wear and tear on your car and poor management/customer service,4,2,"Uber is a nice ""Tool"" i should say to make some extra money here and there. I wouldn't call it a consistent job, it also puts very many miles on your vehicle and is not really worth it unless you have a low maintenance car or possibly fully paid off car with no car payment and cheaper insurance. The best thing about working for Uber was finding new areas and meeting new people since i'm very out going it worked rather well in my favor."
72,4.0,"Jacksonville, FL",2019-01-17,You are the boss.,You are the boss.,,2,You are your own boss and you set your schedule. If you do not get out work you do not make money. It force you to manage your time wisely. You definitely learn your city.
73,3.0,"Cleveland, OH",2019-01-16,flexible schedule,inconsistent work and low pay,1,,"Uber Eats is good for part time work, but very inconsistent. The pay compensation is very low and you put a lot wear and tear on your own vehicle. Over all not bad but not great."
74,5.0,"Orange County, CA",2019-01-16,,,1,1,"Good Company to work for part time and make your own hours. But, you don't make much and the mileage on your vehicle will go up at a fast rate. Fun meeting people and making people laugh!"
75,3.0,"Clearwater, FL",2019-01-16,you can make money on holidays,"wears car out, have to work too many hours",2,,This is a good part time gig but it isn't consistent enough to be full time. Some weeks you have to work 60 hours to make the same as a 40 hour week. The whole make your own schedule is not true because if you don't work peak hours you won't make any money. Traffic is awful too
76,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
77,3.0,"Washington, DC",2019-01-16,,,3,,Stressful without much break time. There is either too many rides or not enough. The pay was too little most of the time for the amount of time and stress involved.
78,5.0,"Manhattan, NY",2019-01-16,no free lunches,unlimited breaks,,3,"working with UBER is fun like theirs no boss on your head, you are your own boss , you can pick your own schedule there's no time limit no stress, work long hours or short hours its all up to you"
79,4.0,"San Jose, CA",2019-01-16,hours are set by driver,income is not stable,1,,"Good part time job in between full time job search. Hours are flexible as you decide when to turn on or off the app, and most riders are great people."
80,3.0,"Denver, CO",2019-01-15,,,3,,was doing on the side as a way to pay off debt. it was a life saver when my job suddenly was merged with another district. I do wish that they would take taxes out and pay more of the surge pricing to the driver whom is doing the work not very fair.
81,5.0,"Phoenix, AZ",2019-01-14,Meet great people and build relationships with great clients,No healthcare etc,1,,If I had benefits I would’ve stayed t the discounts are great! Need to drive black and SUV or holidays to make it worth your time! Also work late hours and know the hotspot areas
82,1.0,"Santa Barbara, CA",2019-01-14,,,1,,"it was ok, days were long hours were good, work was hard sometimes, but manageable for the most part, the hardest part of the job was dealing with customers."
83,1.0,New Jersey,2019-01-14,,,4,2,"Dont loose your time with this job.try another job instead of that.car service better than,you dont have right,they deactive your account no reason then excuse."
84,1.0,Massachusetts,2019-01-14,Flexibility,Accountability,2,,"Fired because ONE customer's boss lodged a ridiculous complaint. They don't give second chances, and they take the customer's complaint 100% more serious than the driver's rebuttal. And once you're fired, even if it's for a ridiculous reason, it's forever! If you're looking for good, consistent work with a company known for longevity and that cares for their ""employees"", look elsewhere!!!"
85,3.0,"Dallas-Fort Worth, TX",2019-01-14,Make your own scheledule.,wear and tear on my vehicle.,3,1,"I like driving my car at first. After a year an a half I put over 90,000 miles on my car. You have to wait to long at the airports for a ride. All though if you got a short ride out you can go right back and you won't have to wait for a ride, they put you up front for the next rider. I had great riders for the most point. If any rider gets sick in your car, Uber reimburse you for any clean up . That in a meager plus in my book. I would recommend this type of work, if you like to drive and entertain people around, as well as putting on high mileage on your vehicle."
86,2.0,"Indianapolis, IN",2019-01-13,Flexible hours,Poor management,3,,"I was treated unfairly as a 5 year veteran. They put to much trust in clients instead of the drivers. They don't care about the drivers. All they care about is the money they make, not the people who represent them on the street."
87,5.0,"Worcester, MA",2019-01-13,"Free lunches, good tips.","Close call accidents, waiting time.",,2,I like this job because I can do it on my own schedule and work whenever I want to. It's nice because the orders are always coming in and there's not one day that I don't get a good amount of money. Driving in the city is a little risky when you are doing it on hours end but you get to see new things and meet new people everyday.
88,1.0,"Los Angeles, CA",2019-01-12,No pros,All cons,5,1,Uber doesnt pay us driver enoughUber no goodUber no goodUber no goodUber no good 69 cents a mileWe use our own carUber is not fareUber no good
89,4.0,"Milwaukee, WI",2019-01-12,self schedule,pay is not always worth the time,1,1,since i started driving in 2016 it has become much more difficult to reach my weekly earning goal due to the mass amount of drivers. easy job. work when you want and take breaks any time
90,4.0,"Phoenix, AZ",2019-01-11,,,2,3,Its a great way to make money. I did it full-time for about 6 months. I did not like the miles that I was putting on my car and decided that I would get another job and do it on the side.
91,2.0,"Hillsboro, OR",2019-01-11,,,,,I like working for uber. You get to meet different types of people. You get to work your as your own boss. You get to learn how to manage your schedule so you can be as efficient with your time.
92,5.0,"Cleveland, OH",2019-01-10,,,1,,Has been a great way to make some money while I was working on my degree. The people you meet are always very nice and friendly. Always have good conversation prepared to chat with passenger.
93,5.0,"Fort Collins, CO",2019-01-10,schedule,bad riders,1,2,Uber was a learning experience that brought many great stories into my life. I loved meeting so many new people and becoming a part of their adventures.
94,4.0,"Tempe, AZ 85282",2019-01-10,Liked all the people most of the time.,Women throwing up in my car,3,,I really enjoyed driving for UBER. I liked meeting all the different people from all over the world.I like setting my own hours==I worked from 3am to 12noon.
95,3.0,"Lithonia, GA",2019-01-09,,,,,minimal pay since the CEO took over. .
96,4.0,"Houston, TX",2019-01-09,,,,,"If you have non traditional work hours, driving for Uber is very beneficial. You choose your own hours and depending on what type of vehicle you use will determine what your payscale is"
97,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
98,5.0,"Snellville, GA",2019-01-08,Work Flexibility,Picking up strangers,,,This is a job where you can make your own hours and work on your on pace. You get to network and meet some good people.  You just have to be sure you are picking up and dropping off I’m the safest area.
99,1.0,"New York, NY",2019-01-08,Zero,Health damage,6,,"This job gonna put you down , make you homeless if you do it full time (  if no other income then this). Save yourself from being miserable & depressed."
100,5.0,"Youngstown, OH",2019-01-08,Work your own hours,Not much work,,3,"If you're looking for a temp job, or a job where you are your own boss; this is for. I enjoyed the employment, but in my area there was not much work."
101,4.0,"Union, NJ",2019-01-08,Make your own hours.,,2,,I would recommend Uber to any and everyone. Especially college students. The opportunity to earn good money with a tight schedule is where Uber shines!
102,5.0,"San Francisco, CA",2019-01-07,,,1,2,great job a lot of time to make money and take time off to do something you really want to do great referral program the pay is good but a lot of competion
103,2.0,"Grand Rapids, MI",2019-01-07,,,4,,They start out nice. Then they take more over a period of time.  You have to work long hours and can't promise  to get enough rides to make the money.
104,5.0,"Charlotte, NC",2019-01-06,flex,none,,1,Uber is a great company and great for so many people from all ways of life! I enjoy the variety of many different assignments and meeting many different people
105,1.0,"San Francisco, CA",2019-01-06,,,5,,"Very poor environment, still an excellent job for students and newcomers to start with. No promised future, long driving hours and possibly health hazards"
106,4.0,"Houston, TX",2019-01-06,,,5,2,"As a driver, you are an independent contractor and receive no benefits and no management-you deal with the problems that occur by removing the passengers from the car or call the police.  Uber offers a support phone number however the people that answer the line are not fluent in English which can cause even more issues sometimes."
107,1.0,"Houston, TX",2019-01-05,,,5,,"Your car will break Down in less than 3 months from brand new to trash. I have given more than 10 thousands rides in 15  cities, Houston is the worse!They pay too low."
108,3.0,"Virginia Beach, VA",2019-01-04,N/a,N/a,1,,I enjoyed meeting many different personalities when driving for Uber. These people were great and I enjoyed my job but then had to relocated to a town that didnt cover this luxury..
109,4.0,"Los Angeles, CA",2019-01-03,,,1,1,Its okay job if you don’t have anywhere else to work at at the moment. Just that you don’t get paid when you are driving around looking for passengers.
110,5.0,"Houston, TX",2019-01-03,,,1,2,I love working for that company the only thing is I have to go back to school and the schedule help me a lot.Another then that is working fine with me the people from the office are excellent and fun.
111,4.0,"Greenville, SC",2019-01-03,Flexible schedule; Supplemental income potential,Limited market; Self-pay of vehicle expenses,,1,"I have worked for 6 months as an Uber/Uber Eats driver with over 1000 trips.  I have maintained a 4.95 rating from my riders (483 5-star out of last 500 ratings).  Uber has been true to their word in making the service easy to work with and well-supported when I needed help.  The flexibility of my own schedule has been great.  I will likely continue driving on a part-time basis for extra income, but have found that driving full-time does not meet our financial needs.  Our market is a city of approximately 50,000 and there seems to be a fair number of drivers competing for business.  My average weekly gross has been about $550 but fuel costs average about $110/week (mini-van).  Also, vehicle maintenance costs have significantly impacted my income.  Insurance may also be an issue since my personal insurance company says they do not cover my Uber driving and Uber apparently only covers when a rider is in the vehicle."
112,5.0,"El Paso, TX",2019-01-02,,,,2,i like working at uber meeting new people im just worried now because i have a 2009 and hopefully they dont change that because its a new year.........
113,5.0,"Atlanta, GA",2019-01-01,Flexibility,Aggressive & bad drivers in Georgia.,,1,Uber is a great opportunity for people transitioning from school to the work force or between jobs it's a what you put in is what you get out employment.
114,2.0,"Tampa, FL",2018-12-31,,,3,,"Doing this job to take care of the kids. I don't have anybody to drop and pick-up from school, started doing this job, but I am wasting my money on gas ."
115,1.0,"Washington, DC",2018-12-30,,,6,,"Only if you want to work for free 10+ hours per day and destroy your car, actually you just make money for uber and waste your time..................."
116,1.0,"Cleveland, OH",2018-12-30,"Flexibility, meeting new people","Long hours, low pay",12,,"I've been driving Uber for 6 months, at first I was very enthusiastic and worked night and day to make around 600 per week. After a few months I put around  40k miles on my vehicle. And was spending about 40$ a day in fuel 6 days a week. If you take the gas cost of 240$ a week minus the 600 that leaves 340$ subtract taxes 90$ now you get 250$ once you take in account for insurance,   car payments,  and wear and tear on the vehicle you are not making anything.  In addition it is very stressful driving 20 minutes on the highway to only take a passenger 3 miles and get 3.67$ for the ride. However I have now corrected this because I no longer accept rides more than 7 minutes away from where I am. In the end  uber would be a good option if you wanted to make a couple dollars once in a while , not very good option for full time gig. The only way to correct the problem with the pay is for them to set their cut they get lower so more profits are given to the driver and not Uber. This will never happen so I guess I'll move on to a other company or maybe even a other career."
117,3.0,"Miami, FL",2018-12-29,,,1,4,"The most enjoyable part of the job is helping me knowing the city and the 3 countries that I lived,the hardest is not getting paid enough for the time i spent driving and the wear and tear of my car"
